id,cn_sample_weight,n_reten_time,n_response,n_rb,n_weight_m,n_weight_p,n_peak_type,c_reten_time,c_response,c_rb,c_weight_m,c_weight_p,c_peak_type,time_period,date,c3_c4,minimum_iso_sample_weight,optimal_iso_sample_weight,maximum_iso_sample_weight,iso_sample_weight,d13c_vpdb,Total_C,d15n_air,Total_N,CO2ppm,d13c_atm
GUMO22-134,3.28,2.245,161.03,A,0.079,2.412,Ordnr,3.523,8463.518,A,1.565,47.71,Ordnr,present,2022,c3,0.83,4.15,4.19,3.733,-26.99,1772.64,-3.94,92.56,420.94,-8.62
GUMO22-135,2.092,2.213,161.819,A,0.079,3.8,Ordnr,3.635,4005.434,A,0.719,34.372,Ordnr,present,2022,c3,0.58,2.63,3.95,2.82,-28.45,966.72,6.69,107.99,420.94,-8.62
GUMO22-136,3.256,2.249,164.299,A,0.081,2.479,Ordnr,3.525,7849.524,A,1.445,44.387,Ordnr,present,2022,c3,0.81,4.03,4.51,3.852,-27.81,1739.23,-1.45,107.42,420.94,-8.62
GUMO22-137,2.691,1.999,104.035,A,0.059,2.206,Ordnr,3.132,5408.135,A,1.213,45.058,Ordnr,present,2022,c3,0.9,4.44,4.44,3.491,-24.95,1544.69,-0.87,74.78,420.94,-8.62
GUMO22-139,3.327,2.239,109.906,A,0.054,1.626,Ordnr,3.537,8396.731,A,1.552,46.644,Ordnr,present,2022,c3,1.23,4.29,4.29,3.731,-27.49,1717.61,3.33,63.4,420.94,-8.62
GUMO22-140,3.182,2.221,66.694,A,0.033,1.034,Ordnr,3.567,6020.232,A,1.095,34.409,Ordnr,present,2022,c3,1.94,5.81,5.81,5.68,-26.6,1931.86,2.43,61.69,420.94,-8.62
GUMO22-141,3.203,2.26,143.752,A,0.071,2.206,Ordnr,3.559,7384.558,A,1.355,42.315,Ordnr,present,2022,c3,0.9,4.52,4.73,3.835,-28.82,1621.29,-2.11,94.85,420.94,-8.62
GUMO22-142,2.329,2.256,46.645,A,0.023,0.989,Ordnr,0.023,0.989,A,1.078,46.278,Ordnr,present,2022,c3,2.02,4.32,4.32,3.302,-28.1,1540.7,-3.04,37.62,420.94,-8.62
GUMO22-143,2.911,2.007,127.532,A,0.073,2.506,Ordnr,3.12,5729.203,A,1.288,44.24,Ordnr,present,2022,c3,0.8,3.98,4.52,4.466,-28.91,1954.06,-2.11,115.42,420.94,-8.62
GUMO22-144,3.184,2.239,316.605,A,0.155,4.854,Ordnr,3.541,7179.134,A,1.316,41.326,Ordnr,present,2022,c3,0.48,2.06,3.09,2.822,-28.01,1169.18,-2.25,142.3,420.94,-8.62
GUMO22-145,2.401,2.244,189.95,A,0.093,3.882,Ordnr,3.64,5233.006,A,0.947,39.436,Ordnr,present,2022,c3,0.52,2.58,3.87,3.535,-29.55,1355.92,1.97,139.44,420.94,-8.62
GUMO22-146,2.214,2.245,152.043,A,0.075,3.375,Ordnr,3.628,5766.247,A,1.047,47.288,Ordnr,present,2022,c3,0.59,2.96,4.23,3.062,-28.6,1403.1,-1.68,102.28,420.94,-8.62
GUMO22-147,2.13,2.243,110.382,A,0.054,2.551,Ordnr,3.592,6402.407,A,1.167,54.806,Ordnr,present,2022,c3,0.78,3.65,3.65,3.303,-26.51,1599.67,-1.46,83.98,420.94,-8.62
GUMO22-148,3.093,2.253,185.562,A,0.091,2.944,Ordnr,3.588,6932.713,A,1.269,41.013,Ordnr,present,2022,c3,0.68,3.4,4.88,3.593,-25.83,1458.14,-1.8,109.71,420.94,-8.62
GUMO22-149,2.235,2.217,56.104,A,0.028,1.239,Ordnr,3.588,5502.869,A,0.997,44.628,Ordnr,present,2022,c4,1.61,4.48,4.48,3.801,-15,1692.05,-1.77,48.82,420.94,-8.62
